"model_id","name","brand_id","wallapop_name"
"1057","Clase CLA","28","Clase CLA"
"891","Clase CLC","28","Clase CLC"
"269","Clase CLK","28",""
"542","Clase CLS","28","Clase CLS"
"41","Clase E","28","Clase E"
"167","Clase G","28","Clase G"
"550","Clase GL","28",""
"1100","Clase GLA","28",""
"1162","Clase GLC","28",""
"1154","Clase GLE","28",""
"1155","Clase GLE Coupé","28",""
"905","Clase GLK","28",""
"1173","Clase GLS","28",""
"309","Clase M","28","Clase M"
"548","Clase R","28","Clase R"
"56","Clase S","28","Clase S"
"55","Clase SL","28",""
"1176","Clase SLC","28",""
"258","Clase SLK","28",""
"830","Clase SL R129","28",""
"1426","Clase T","28",""
"259","Clase V","28","Clase V"
"1238","Clase X","28",""
"1521","CLE","28",""
"1243","CLS","28",""
"1355","EQA","28",""
"1390","EQB","28",""
"1284","EQC","28",""
"1423","EQE","28",""
"1468","EQE SUV","28",""
"1383","EQS","28",""
"1469","EQS SUV","28",""
"1495","EQT","28","EQT"
"1322","EQV","28","EQV"
"1098","GLA","28","GLA"
"1306","GLB","28",""
"1439","GLC","28",""
"1194","GLC Coupé","28","GLC Coupé"
"1261","GLE","28",""
"1318","GLE Coupé","28","GLE Coupé"
"1286","GLS","28","GLS"
"1215","Mercedes-AMG GT","28",""
"1421","Mercedes-AMG SL","28",""
"473","SL-Klasse","28",""
"474","SLR McLaren","28",""
"951","SLS AMG","28",""
"666","Sprinter","28","Sprinter"
"727","Transporter","28",""
"466","Vaneo","28","Vaneo"
"260","Viano","28","Viano"
"668","Vito","28","Vito"
"","","28"," CLK"
"","","28"," GL"
"","","28"," GLE"
"","","28"," SL"
"","","28","AMG GT (C190)"
"","","28","AMG GT 4-Door Coupé"
"","","28","CL Coupe"
"","","28","Classe C (206)"
"","","28","Classe E (214)"
"","","28","Classe GLK "
"","","28","Classe S (223)"
"","","28","Classe T"
"","","28","Classe X"
"","","28","CLE (236)"
"","","28","eCitan"
"","","28","EQA (H243)"
"","","28","EQB (X243)"
"","","28","EQC (N293)"
"","","28","EQE (V295)"
"","","28","EQE SUV (X294)"
"","","28","EQS (V297)"
"","","28","EQS SUV (X296)"
"","","28","eSprinter"
"","","28","eVito"
"","","28","GLA (H247)"
"","","28","GLB (X247)"
"","","28","GLC Coupé (C254)"
"","","28","GLC SUV (253)"
"","","28","GLC SUV (X254)"
"","","28","GLE Coupé (167)"
"","","28","GLE SUV (167)"
"","","28","Marco Polo"
"","","28","SL (R232) "
"","","28","SLC"
"","","28","SLK"
"","","28","SLR"
"","","28","SLS"
"1365","eHS","29",""
"1362","HS","29","HS"
"1386","Marvel R","29","Marvel R"
"1443","MG4","29","MG4"
"1406","MG5","29","MG5"
"253","MGF","29","MGF"
"254","TF","29","TF"
"433","ZR","29","ZR"
"434","ZS","29","ZS"
"1366","ZS EV","29","ZS EV"
"435","ZT","29","ZT"
"482","ZT-T","29",""
"","","29","EHS"
"","","29","ZS (Old Model)"
"224","3000 GT","30","3000 GT"
"829","300 GT","30",""
"965","ASX","30","ASX"
"673","Canter","30","Canter"
"280","Carisma","30","Carisma"
"173","Colt","30","Colt"
"281","Eclipse","30",""
"1242","Eclipse Cross","30","Eclipse Cross"
"111","Galant","30","Galant"
"563","Grandis","30","Grandis"
"997","i-MiEV","30","i-MiEV"
"658","L200","30",""
"518","Lancer","30","Lancer"
"72","Montero","30","Montero"
"388","Montero iO","30",""
"383","Montero Sport","30",""
"509","Outlander","30","Outlander"
"206","Space Gear","30","Space Gear"
"201","Space Runner","30","Space Runner"
"376","Space Star","30","Space Star"
"174","Space Wagon","30","Space Wagon"
"","","30","L 200"
"","","30","L 300"
"228","100 NX","31",""
"157","200 SX","31","200 SX"
"169","300 ZX","31",""
"521","350Z","31","350Z"
"942","370Z","31","370Z"
"303","Almera","31","Almera"
"415","Almera Tino","31",""
"1425","Ariya","31","Ariya"
"828","Bluebird","31",""
"692","Cabstar","31","Cabstar"
"691","Cabstar E","31",""
"779","CAMION","31",""
